Covanta Alexandria per Arlington Energy monthly
https://www.eia.gov/electricity/data/browser/#/plant/50663/?freq=M&pin=
13:19:08 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Net generation-all primemovers- megawatthours
Mar 2020,12412
Feb 2020,10022
Jan 2020,11174
Dec 2019,13939
Nov 2019,8064
Oct 2019,12211
Sep 2019,11980
Aug 2019,13088
Jul 2019,12154
Jun 2019,12587
May 2019,11674
Apr 2019,12893
Mar 2019,12334
Feb 2019,8407
Jan 2019,10411
Dec 2018,12207
Nov 2018,7709
Oct 2018,9964
Sep 2018,9494
Aug 2018,10733
Jul 2018,11712
Jun 2018,10666
May 2018,12874
Apr 2018,13796
Mar 2018,12038
Feb 2018,8102
Jan 2018,12960
Dec 2017,14612
Nov 2017,10792
Oct 2017,12414
Sep 2017,11894
Aug 2017,12960
Jul 2017,13182
Jun 2017,12988
May 2017,13844
Apr 2017,13776
Mar 2017,11358
Feb 2017,11070
Jan 2017,11953
Dec 2016,15613.652
Nov 2016,13610.947
Oct 2016,13538.29
Sep 2016,12196.943
Aug 2016,14521.944
Jul 2016,14753.886
Jun 2016,14182.882
May 2016,14915.966
Apr 2016,15166.536
Mar 2016,12876.932
Feb 2016,12536.937
Jan 2016,13341.746
Dec 2015,14522.876
Nov 2015,12930.958
Oct 2015,13306.349
Sep 2015,12948.656
Aug 2015,13413.471
Jul 2015,14700.791
Jun 2015,12966.355
May 2015,13216.926
Apr 2015,14021.734
Mar 2015,12465.212
Feb 2015,12590.964
Jan 2015,13234.625
Dec 2014,14235.977
Nov 2014,13592.317
Oct 2014,14074.829
Sep 2014,12376.721
Aug 2014,13395.772
Jul 2014,15112.51
Jun 2014,13627.714
May 2014,14843.309
Apr 2014,14790.214
Mar 2014,12787.508
Feb 2014,12358.091
Jan 2014,13967.708
Dec 2013,13520.592
Nov 2013,11213.289
Oct 2013,12608.662
Sep 2013,12090.754
Aug 2013,13646.343
Jul 2013,14128.855
Jun 2013,14020.803
May 2013,15470.202
Apr 2013,15738.472
Mar 2013,13216.926
Feb 2013,13234.624
Jan 2013,14290.004
Dec 2012,0
Nov 2012,0
Oct 2012,0
Sep 2012,0
Aug 2012,0
Jul 2012,0
Jun 2012,0
May 2012,0
Apr 2012,0
Mar 2012,0
Feb 2012,0
Jan 2012,0
Dec 2011,14844.241
Nov 2011,13466.565
Oct 2011,14629.066
Sep 2011,12984.053
Aug 2011,14057.13
Jul 2011,15165.605
Jun 2011,13574.619
May 2011,13646.343
Apr 2011,14271.373
Mar 2011,12644.99
Feb 2011,10695.38
Jan 2011,13699.438
Dec 2010,14004.036
Nov 2010,14110.225
Oct 2010,14218.279
Sep 2010,13932.311
Aug 2010,14772.515
Jul 2010,15255.959
Jun 2010,14665.394
May 2010,13967.708
Apr 2010,14987.69
Mar 2010,13163.831
Feb 2010,8924.615
Jan 2010,12500.609
Dec 2009,12572.334
Nov 2009,11589.611
Oct 2009,11821.552
Sep 2009,12340.393
Aug 2009,13360.376
Jul 2009,13270.021
Jun 2009,12608.663
May 2009,13539.222
Apr 2009,14182.882
Mar 2009,12966.355
Feb 2009,13305.417
Jan 2009,14754.818
Dec 2008,14450.219
Nov 2008,13627.713
Oct 2008,14467.918
Sep 2008,13395.772
Aug 2008,15613.652
Jul 2008,15273.658
Jun 2008,14325.4
May 2008,14879.637
Apr 2008,14826.542
Mar 2008,12430.747
Feb 2008,14075.761
Jan 2008,15184.235
Dec 2007,15255.96
Nov 2007,13895.983
Oct 2007,14093.459
Sep 2007,14361.729
Aug 2007,15971.345
Jul 2007,16060.768
Jun 2007,15201.933
May 2007,15917.318
Apr 2007,15363.081
Mar 2007,12715.784
Feb 2007,13162.899
Jan 2007,15380.779
Dec 2006,16332.496
Nov 2006,15873.169
Oct 2006,15726.866
Sep 2006,15879.231
Aug 2006,14047.827
Jul 2006,14711.362
Jun 2006,17788.149
May 2006,16029.711
Apr 2006,13870.246
Mar 2006,13969.05
Feb 2006,14075.54
Jan 2006,15179.354
Dec 2005,16073.358
Nov 2005,14364.051
Oct 2005,12899.955
Sep 2005,14947.96
Aug 2005,15700.518
Jul 2005,16299.115
Jun 2005,15171.035
May 2005,15646.164
Apr 2005,14280.123
Mar 2005,15466.386
Feb 2005,13844.446
Jan 2005,16232.89
Dec 2004,15888.632
Nov 2004,13480.611
Oct 2004,13459.453
Sep 2004,15378.569
Aug 2004,15760.695
Jul 2004,17473.334
Jun 2004,16291.995
May 2004,16498.92
Apr 2004,14729.906
Mar 2004,14413.608
Feb 2004,13270.64
Jan 2004,14001.636
Dec 2003,15636.791
Nov 2003,11883.167
Oct 2003,11585.854
Sep 2003,12594.964
Aug 2003,16994.035
Jul 2003,16004.314
Jun 2003,12962.759
May 2003,10958.239
Apr 2003,10377.913
Mar 2003,11947.074
Feb 2003,13070.424
Jan 2003,15313.466
Dec 2002,11536.454
Nov 2002,12398.54
Oct 2002,13593.277
Sep 2002,13226.394
Aug 2002,11445.371
Jul 2002,13570.432
Jun 2002,11329.801
May 2002,11177.846
Apr 2002,10903.923
Mar 2002,12817.039
Feb 2002,11546.797
Jan 2002,12011.533
Dec 2001,
Nov 2001,
Oct 2001,
Sep 2001,
Aug 2001,
Jul 2001,
Jun 2001,
May 2001,
Apr 2001,
Mar 2001,
Feb 2001,
Jan 2001,
